Country Name;Country Code;Indicator Name;Indicator Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.0252;0.0288;0.0395;0.0443;0.0435;0.0574;0.0564;0.0671;0.0719;0.0759;0.0798;0.0829;0.0822;0.0845;0.0986;0.1042;0.1138;0.1287;0.1429;0.1975;0.1893;0.2154;0.239;0.2411;0.2665;0.2946;0.1941;0.3183;0.3258;0.3158;0.2461;0.2541;0.2726;0.3166;0.327;0.3582;0.3856;0.4245;0.4208;0.4581;0.4501;0.2754;0.3685;0.4249;0.4353;0.4367;0.4537;0.4268;0.4611;0.5338;0.4536;0.438;0.4551
Africa Eastern and Southern;AFE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;228.4805;227.1277;236.0957;257.7411;264.8752;277.3585;289.9175;293.7131;273.3772;279.7323;296.4059;308.1201;311.9507;315.0278;333.2684;341.1233;341.9218;362.7974;368.8844;366.0844;377.733;369.944;363.5761;363.3331;371.66;391.3972;406.1489;422.899;430.8831;417.7181;424.1309;435.5621;449.1461;473.1331;508.3785;523.0165;532.3379;554.8037;585.764;559.5704;574.4297;564.28;585.8736;609.7708;633.0366;617.4716;623.1308;633.5587;641.4532;650.9186;579.7728;591.7135;583.5316
Afghanistan;AFG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;1.7341;1.7338;1.6937;1.7339;2.1903;2.0289;1.8926;2.2824;1.934;2.0592;2.0063;2.2598;2.3095;3.0015;3.2245;4.1232;3.9414;3.2726;3.0878;2.8959;2.8965;2.7663;1.6826;1.6083;1.5358;1.3595;1.3317;1.3154;1.3258;1.2832;1.0712;0.9883;0.9729;1.0588;0.9392;1.3338;1.4774;2.0636;4.0296;6.4864;8.0863;11.8006;10.1766;8.6911;8.2797;8.7196;7.9373;8.5469;8.1289;7.4479;5.4687;5.6392;5.6758
Africa Western and Central;AFW;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;42.4389;57.2127;70.5467;91.7595;113.8942;91.2653;103.4843;90.4355;94.0426;124.1496;114.5055;98.861;94.8707;96.6827;97.9371;102.0396;99.4317;96.0296;103.4903;107.8007;102.142;107.3315;116.1776;114.3084;110.599;120.7323;139.8913;140.3851;135.1393;136.828;146.1004;154.4296;144.6913;156.3386;155.1878;155.509;148.5741;144.2226;151.8639;145.6845;163.8302;174.6862;176.9689;193.8353;203.0989;201.9389;211.2423;212.48;223.864;235.5266;228.9011;243.3825;244.5928
Angola;AGO;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;8.9482;8.5338;10.3837;11.3673;11.8279;10.9241;7.3108;12.0511;14.2324;14.1974;14.3347;13.2482;12.7875;13.2432;13.3817;14.1322;14.2808;14.5458;14.9963;15.159;11.2888;11.8414;12.1865;12.2036;11.5578;13.0292;15.7622;16.4896;17.127;18.1231;16.6035;16.283;16.025;17.4384;17.8038;15.9641;16.7226;17.2356;19.489;21.3109;22.9618;23.8546;24.1782;27.8128;30.3852;32.5964;30.5397;26.1374;24.6503;25.3266;20.719;21.5606;20.1857
Albania;ALB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;4.8488;4.8419;5.5232;4.9567;5.3337;5.4283;5.801;6.2055;6.826;7.9413;8.0781;7.0754;7.2756;7.795;8.4344;8.0768;8.1542;8.2955;8.2023;7.9086;6.6474;4.3815;2.3645;2.2241;2.3455;2.0714;2.056;1.5812;1.9154;3.0814;3.2293;3.44;4.0072;4.212;4.415;4.1494;4.1358;4.2456;4.1959;4.2759;4.5585;4.9609;4.5352;4.7708;5.102;4.8686;4.529;5.3493;5.273;4.9564;4.3028;4.3582;4.4862
Arab World;ARB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;268.9503;287.3032;321.2127;371.8023;364.1622;365.6214;431.9803;445.8122;477.5995;513.2218;541.4005;509.3495;528.3137;548.5317;543.958;565.8258;590.3648;617.6357;650.1332;680.0817;669.5847;690.5276;732.9413;785.5608;834.1841;861.1249;885.1862;927.2116;936.5944;951.2323;988.0104;1049.1422;1085.6298;1117.3657;1178.4241;1264.0416;1329.2937;1381.2326;1481.7274;1535.2473;1627.3834;1670.167;1784.8131;1818.0258;1881.9556;1926.2346;1948.9541;1983.5935;1975.1636;1980.2575;1906.761;2039.2378;2096.251
United Arab Emirates;ARE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;19.4292;25.3942;27.707;35.7922;35.9544;36.6225;45.5156;45.8092;52.5497;37.8178;41.0812;38.0048;38.0228;36.7539;49.9449;51.777;50.1943;52.0264;50.9431;56.8801;56.8256;64.6509;62.4463;65.8407;72.4947;77.329;80.8168;84.2241;86.3995;89.0819;88.3802;101.1855;103.4492;108.7421;114.9387;122.3798;127.1092;137.0569;164.163;165.2567;171.8706;177.1729;185.8648;195.816;198.8241;207.6382;213.2055;205.1961;187.9062;198.542;201.0021;214.4513;218.7993
Argentina;ARG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;87.0069;87.3284;89.1718;92.235;92.7676;90.3705;95.0227;98.9191;98.0231;103.6042;101.0998;98.1873;97.3099;100.7434;100.1741;93.5313;100.8653;106.5281;110.2515;106.9293;99.5316;104.8623;106.7777;110.7012;114.1684;115.7414;126.1209;130.3075;137.3604;139.2803;136.1136;130.4902;122.8899;134.1583;148.9305;152.7737;161.8901;171.31;176.6378;163.3895;175.3996;184.2544;185.819;191.6392;187.7887;193.7552;191.4694;188.4326;186.2834;177.5432;164.0262;181.451;184.0372
Armenia;ARM;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;12.6736;13.0187;13.7592;14.5544;15.3049;16.3203;16.7442;17.161;17.8282;18.2972;19.1853;19.0271;19.3352;19.2097;19.3623;19.4863;19.8421;20.4236;20.6702;20.6119;20.6047;21.4648;10.9201;5.0931;2.8083;3.5412;2.5941;3.3384;3.4727;3.1042;3.5696;3.6333;3.1013;3.4707;3.759;4.4625;4.4455;5.154;5.6482;4.5018;4.2988;4.9037;5.6692;5.4813;5.4722;5.3342;5.0789;5.3808;5.6947;6.182;6.7038;6.9278;6.3265
